firm_id,ticker,fiscal_year,managerial_inside_own,state_own,institutional_own,foreign_own,shares_outstanding,net_sales,total_assets,selling_expenses,general_admin_expenses,intangible_assets_net,manufacturing_overhead,net_operating_income,raw_material_consumption,merchandise_purchase_year,wip_goods_purchase,outside_manufacturing_expenses,production_cost,rnd_expenses,product_innovation,process_innovation,net_income,total_equity,market_value_equity,total_liabilities,net_cfo,capex,net_cfi,cash_and_equivalents,long_term_debt,current_assets,current_liabilities,growth_ratio,inventory,dividend_cash_paid,eps_basic,employees_count,net_ppe,firm_age
1,BHN,2020,0.0,0.82,0.0,0.17,231800000.0,7452592109444.0,7684082600975.0,-1074390462145.0,-515589422823.0,74312688908.0,-1845929034097.0,485109488927.0,-2373506765567.0,,88921489396.0,-832611124525.0,-4815712877899.0,,0,1,660588740136.0,5733808658790.0,15031990000000.0,1948544585402.0,513052566413.0,-144241107462.0,-822889125635.0,818705165651.0,100867646209.0,4500763443175.0,1746185904092.0,-0.2,597223915582.0,-20649490819.0,2793.0,577.0,2481707930349.0,130
1,BHN,2021,0.0,0.82,0.0,0.17,231800000.0,6950539185083.0,7087729500362.0,-989045745823.0,-441868306679.0,96781082662.0,-1706550363038.0,385091154963.0,-2199564853018.0,,85816017807.0,-812371066354.0,-4430964547305.0,,1,1,324172819885.0,4833416250202.0,12215860000000.0,2252851201633.0,723894631133.0,-82913884955.0,12350885159.0,723095200598.0,48500000000.0,4341875502440.0,2104987465003.0,-0.07,552768030357.0,-756936054276.0,1299.0,548.0,2088148331640.0,131
1,BHN,2022,0.0,0.82,0.0,0.17,231800000.0,8398342522254.0,7233178229846.0,-1289350725768.0,-554221803654.0,83400362115.0,-2120720365146.0,611945596072.0,-2643720893567.0,,93725585604.0,-988447795231.0,-5363060817041.0,,1,1,502769144525.0,5303642076713.0,9657940000000.0,1928324905822.0,1038195215333.0,-78246876700.0,-540987072628.0,511914329623.0,0.0,4843308708749.0,1815508334712.0,0.21,724445062089.0,-558752426786.0,1895.0,537.0,1756914601738.0,132
1,BHN,2023,0.0,0.82,0.0,0.17,231800000.0,7754352899163.0,7149981347305.0,-1201367368741.0,-507108723263.0,85258237727.0,-1939903949402.0,443845891414.0,-2598573750963.0,,110545720258.0,-929485659196.0,-5125639242467.0,,1,1,354684835160.0,5306532186354.0,8644510000000.0,1842472207856.0,482306917326.0,-99015307036.0,444016152402.0,1164573830285.0,6518120000.0,5135871007030.0,1726342324471.0,-0.08,719428967211.0,-294542910781.0,1426.0,515.0,1441912595836.0,133
1,BHN,2024,0.0,0.82,0.0,0.17,231800000.0,8218412128598.0,7259200002724.0,-1377780938100.0,-513365466604.0,75217254118.0,-2067295944098.0,488759121443.0,-2655262144320.0,,112196806097.0,-1002944593164.0,-5341304044459.0,,1,0,391140013450.0,5265628783522.0,8547620000000.0,1992820227026.0,944753490852.0,-70838090387.0,-682383016240.0,1036109602407.0,915963000.0,5352518818851.0,1869699422684.0,0.06,713918413203.0,-345280863710.0,1599.0,515.0,1119065206629.0,134
2,BSR,2020,0.92,0.0,0.92,0.0,3100499616.0,57959112673412.0,55894934071073.0,-551873123765.0,-269294376639.0,282697160390.0,-4182064037383.0,-2877475399985.0,-58613507950919.0,,926031961338.0,-1310299041363.0,-63481936311391.0,-24427658256.0,1,1,-2858127502374.0,31064538930922.0,17527000000000.0,24830395140151.0,424918771882.0,-173266450408.0,-752663225609.0,12792513572897.0,3022122002938.0,29997221937511.0,20407344880956.0,-0.44,8386688832594.0,-1895194484.0,-909.0,1990.0,22092837391026.0,12
2,BSR,2021,0.92,0.0,0.92,0.0,3100499616.0,101080035258130.0,66795662728649.0,-781029744856.0,-406693387067.0,218024576014.0,-5697950248407.0,6906639723627.0,-94489900890014.0,,786249931869.0,-2921421596318.0,-101015099255810.0,-49383137391.0,1,1,6683539852376.0,37563804992111.0,40899000000000.0,29231857736538.0,8971535596383.0,-63261327169.0,-2778586437616.0,16345674140133.0,942639040000.0,44544299212274.0,26940444771659.0,0.74,10358095365157.0,-501724739441.0,2108.0,1920.0,19918067649633.0,13
2,BSR,2022,0.92,0.0,0.92,0.01,3100499616.0,167123712786024.0,78487929061850.0,-908980731417.0,-514762438322.0,190190222727.0,-4348327804383.0,15499742031272.0,-153398036548269.0,,1522384532641.0,-1722241291947.0,-158952712225444.0,-66758722901.0,1,1,14669336789079.0,51190346872060.0,23827000000000.0,27297582189790.0,7087759330083.0,-219560369638.0,2695266414844.0,22853096476348.0,0.0,58471339394419.0,26015466987812.0,0.65,16809029395688.0,-1346931938679.0,4750.0,1836.0,17885159850501.0,14
2,BSR,2023,0.92,0.0,0.92,0.01,3100499616.0,147423365943576.0,86594660994410.0,-1032111954829.0,-623486470367.0,244507663310.0,-4609062195058.0,9601523362528.0,-139744006167525.0,,1191303209647.0,-1734111464517.0,-145431531299238.0,-35877168609.0,1,1,8592578972011.0,57268695746376.0,34685000000000.0,29325965248034.0,11673333341157.0,-229573163895.0,-17874057088730.0,17000621246736.0,,68680527655901.0,28442061214665.0,-0.12,15530866954976.0,-2165547068085.0,2789.0,1855.0,15826906360099.0,15
2,BSR,2024,0.92,0.0,0.93,0.01,3100499616.0,123027063879559.0,88386867728798.0,-652066552695.0,-561376142119.0,195546861170.0,-4483189604372.0,708068899519.0,-119192196896418.0,,927115238219.0,-2035033302145.0,-124691483657206.0,-8853239850.0,1,1,591091587455.0,55538009032139.0,43773000000000.0,32848858696659.0,-80470180397.0,-520909152211.0,7989760008964.0,28994990599830.0,,71515534342682.0,31984096504586.0,-0.17,15890950395456.0,-2180488607515.0,203.0,1840.0,13020136088789.0,16
